001	003	005	008	010 \\ $a	010 \\ $b	010 \\ $d	015 \\ $2	015 \\ $a	016 77 $2	016 77 $a	016 77 $z	017 \\ $a	017 \\ $b	019 11 $a	019 11 $a [3]	019 99 $a [2]	019 aa $a	019 uu $a [4]	019 yy $a	020 \\ $a	020 \\ $a [2]	020 \\ $b	020 \\ $c	020 \\ $c [2]	024 77 $2	024 77 $a	035 \\ $9	035 \\ $a	039 00 $a	039 \\ $a	039 \\ $o	040 \\ $a	040 \\ $b	040 \\ $c	040 \\ $d	040 \\ $e	041 11 $a	041 11 $h	042 \\ $a	043 \\ $a	050 00 $a	050 00 $b	073 \\ $a	080 \\ $a	080 \\ $a [2]	080 \\ $a [3]	082 00 $2	082 00 $a	100 11 $0	100 11 $a	100 11 $d	100 \\ $a	101 00 $a	101 11 $a	101 11 $c	102 \\ $a	105 \\ $a	106 \\ $a	110 11 $4	110 11 $a	110 11 $b	110 11 $e	110 22 $a	181 \\ $2 [2]	181 \\ $6	181 \\ $6 [2]	181 \\ $a	181 \\ $b	181 \\ $c [2]	182 \\ $2 [2]	182 \\ $6	182 \\ $6 [2]	182 \\ $a	182 \\ $c [2]	200 11 $a	200 11 $b	200 11 $e	200 11 $f	200 11 $g	210 \\ $a	210 \\ $b	210 \\ $c	210 \\ $d	210 \\ $e	210 \\ $g	215 \\ $a	215 \\ $c	215 \\ $d	225 || $a	225 || $v	240 11 $a	243 11 $a	245 00 $a	245 00 $b	245 00 $c	245 00 $h	245 11 $a	245 11 $b	245 11 $c	245 11 $h	250 \\ $a	260 \\ $a	260 \\ $b	260 \\ $c	300 \\ $a	300 \\ $b	300 \\ $c	300 \\ $e	336 \\ $2	336 \\ $a	337 \\ $2	337 \\ $a	338 \\ $2	338 \\ $a	410 \\ $0	410 \\ $t	410 \\ $v	410 \\ $x	440 \\ $a	454 \\ $t	490 00 $a	490 00 $v	490 11 $a	490 11 $v	500 \\ $5	500 \\ $a	500 \\ $a [2]	500 \\ $a [3]	504 \\ $a	595 \\ $a	606 \\ $2	606 \\ $2 [2]	606 \\ $2 [3]	606 \\ $3	606 \\ $3 [2]	606 \\ $3 [3]	606 \\ $a	606 \\ $a [2]	606 \\ $a [3]	606 \\ $x	606 \\ $x [2]	606 \\ $x [3]	606 \\ $y	608 \\ $2	608 \\ $3	608 \\ $a	610 22 $a	610 22 $x	650 \\ $2	650 \\ $2 [2]	650 \\ $a	650 \\ $a [2]	650 \\ $a [3]	650 \\ $v	650 \\ $v [2]	650 \\ $x	650 \\ $x [2]	650 \\ $z	650 \\ $z [2]	651 \\ $a	651 \\ $v	651 \\ $x	653 00 $a	653 \\ $a	655 \\ $2	655 \\ $a	676 \\ $a	676 \\ $a [2]	676 \\ $v	676 \\ $v [2]	686 \\ $2	686 \\ $a	700 11 $4	700 11 $a	700 11 $a [2]	700 11 $a [3]	700 11 $d [3]	700 11 $e	700 \\ $3	700 \\ $4	700 \\ $a	700 \\ $b	700 \\ $o	702 \\ $3	702 \\ $3 [2]	702 \\ $3 [3]	702 \\ $4	702 \\ $4 [2]	702 \\ $4 [3]	702 \\ $a	702 \\ $a [2]	702 \\ $a [3]	702 \\ $b	702 \\ $b [2]	702 \\ $b [3]	702 \\ $f	702 \\ $f [2]	702 \\ $o	702 \\ $o [2]	702 \\ $o [3]	710 11 $a	710 11 $b	710 11 $t	710 22 $a	710 22 $a [2]	710 22 $a [3]	710 22 $a [4]	710 || $3	710 || $4	710 || $a	710 || $b	801 \\ $2	801 \\ $a	801 \\ $b	801 \\ $c	801 \\ $g	801 \\ $h	830 \\ $a	830 \\ $v	852 44 $a	852 44 $a [2]	852 44 $b	852 44 $b [2]	852 44 $j	852 44 $j [2]	886 22 $2	886 22 $2 [2]	886 22 $a	886 22 $a [2]	886 22 $b	886 22 $b [2]	886 22 $c	886 22 $h	886 22 $x	886 22 $z	901 \\ $a	906 \\ $a	906 \\ $b	906 \\ $c	906 \\ $d	906 \\ $e	906 \\ $f	906 \\ $g	916 \\ $a	922 \\ $a	926 \\ $a	926 \\ $a [2]	926 \\ $a [3]	926 \\ $a [4]	926 \\ $a [5]	926 \\ $b	926 \\ $b [2]	926 \\ $b [3]	926 \\ $b [4]	926 \\ $b [5]	926 \\ $c	926 \\ $c [2]	926 \\ $c [3]	926 \\ $c [4]	926 \\ $c [5]	926 \\ $d	926 \\ $d [2]	926 \\ $d [3]	926 \\ $d [4]	926 \\ $d [5]	926 \\ $f	926 \\ $f [2]	926 \\ $f [3]	926 \\ $f [4]	926 \\ $f [5]	930 \\ $5	930 \\ $5 [2]	930 \\ $5 [3]	930 \\ $5 [4]	930 \\ $a	930 \\ $a [2]	930 \\ $a [3]	930 \\ $a [4]	930 \\ $b	930 \\ $b [2]	930 \\ $b [3]	930 \\ $b [4]	930 \\ $c	930 \\ $c [2]	930 \\ $c [3]	930 \\ $c [4]	930 \\ $d	930 \\ $d [2]	930 \\ $d [3]	930 \\ $d [4]	955 \\ $a	956 \\ $a	957 \\ $a	966 \\ $l	980 \\ $.	980 \\ $. [2]	980 \\ $. [3]	980 \\ $. [4]	980 \\ $9	980 \\ $9 [2]	980 \\ $9 [3]	980 \\ $9 [4]	980 \\ $a	980 \\ $a [2]	980 \\ $a [3]	980 \\ $a [4]	980 \\ $b	980 \\ $b [2]	980 \\ $b [3]	980 \\ $b [4]	980 \\ $c	980 \\ $c [2]	980 \\ $c [3]	980 \\ $c [4]	980 \\ $d	980 \\ $j	980 \\ $j [2]	980 \\ $j [3]	980 \\ $j [4]	991 \\ $b	991 \\ $h	991 \\ $i	991 \\ $t	991 \\ $w	994 \\ $a	LDR
bimo0001979828	SpMaBN	20211202014835.5	041021s2004    sp |          ||| ||spa  						SpMaBN	bimoBNE20040975214		M 37691-2004	Oficina Depósito Legal Madrid							84-309-4183-5								(OCoLC)433131470				SpMaBN	spa	SpMaBN		rdc								"347.78(460)""18/20""(094.5)"																España																																Leyes, etc., de propiedad intelectual					Legislacion sobre propiedad intelectual		edición preparada por Ignacio Garrote Fernández-Díez, Nazareth Pérez de Castro ; bajo la dirección de Rodrigo Bercovitz Rodríguez-Cano	[Texto impreso]	6ª ed.	Madrid	Tecnos	2004	647 p.		17 cm																Biblioteca de textos legales	237.0		Índice				"""Sexta edición actualizada""--Cub."																			embne		Propiedad intelectual							España							tgfbne	Legislación								Garrote Fernández-Díez, Ignacio	Pérez de Castro, Nazaret	Bercovitz Rodríguez-Cano, Rodrigo	1942-																																									Biblioteca de textos legales (Editorial Tecnos)	234.0																											BNALCALA	BNALCALA				SG_PETANTI	CONSERVACI				12/414386	DL/1340342				FONDO_MODE	NO_PRESTA				1.0	1.0																									2			852. 40	852. 40			MO04490187	MO04491736			SpMaBN	SpMaBN			BNALCALA	BNALCALA			SG_PETANTI	CONSERVACI			SA 347.78(094.5) LEG	12/414386	DL/1340342								MONOMODERN	01665nam a2200397   4500
bimo0000028279	SpMaBN	20050317000000.5	881026s1987    sp           o      spa  					1988-DIC-22958	SpMaBN	bimoBNE19910285713	SAB9000031642	M 13955-1987	Oficina Depósito Legal Madrid							84-369-1201-2								(OCoLC)26812318				SpMaBN	spa	SpMaBN		rdc								331.5-057.85(460)																																																	El mercado de trabajo de los titulados universitarios en España			[Texto impreso]					[3ª ed.]	[Madrid]	Centro de Publicaciones del Ministerio de Educación y Ciencia	1987	126 p.		27 cm												Universidad educación							""" Ministerio de Educación y Ciencia, Consejo de Universidades, Secretaría General"""	Reimp. de la 1ª ed., 1985	NIPO 176-87-138-6																					embne		Titulados universitarios					Empleo		España																																														Consejo de Universidades (España)																																										BNMADRID	BNALCALA	BNALCALA			SG_RECOLET	SG_PETANTI	CONSERVACI			VC/17937/2	AHM/64226	DL/349920			FONDO_MODE	FONDO_MODE	NO_PRESTA			1.0	1.0	1.0																								1 2			852. 40	852. 40	852. 40		MO02597712	MO01488811	MO01488810		SpMaBN	SpMaBN	SpMaBN		BNALCALA	BNALCALA	BNMADRID		SG_PETANTI	CONSERVACI	SG_RECOLET			AHM/64226	DL/349920	VC/17937/2							MONOMODERN	01608nam a2200373 i 4500
bimo0001234693	SpMaBN	20160728025534.5	990608s1999    sp |          ||| ||spa  						SpMaBN	bimoBNE19994880101		M 3151-1999	Oficina Depósito Legal Madrid							84-294-4578-1								(OCoLC)432670318				SpMaBN	spa	SpMaBN		rdc								17(07)					XX884425	Cortina Orts, Adela	1947-																																								Ética						Ética	Secundaria : [curso 4º]	Adela Cortina ; Domingo García Marzá ... [et al.]	[Texto impreso] :		Madrid	Santillana	[1999]	176 p.	il. col. y n.	29 cm																																																																																																																																											BNALCALA	BNALCALA	BNALCALA	BNALCALA	BNALCALA	SG_PETANTI	CONSERVACI	CONSERVACI	CONSERVACI	CONSERVACI	10/118414	DL/1017327	DL/1060702	DL/2065880	DL/908048	FONDO_MODE	NO_PRESTA	NO_PRESTA	NO_PRESTA	NO_PRESTA	1.0	1.0	1.0	1.0	1.0																						2			852. 40	852. 40	852. 40	852. 40	MO03136854	MO03421531	MO03137257	MO03566483	SpMaBN	SpMaBN	SpMaBN	SpMaBN	BNALCALA	BNALCALA	BNALCALA	BNALCALA	SG_PETANTI	CONSERVACI	CONSERVACI	CONSERVACI		10/118414	DL/1017327	DL/908048	DL/1060702						MONOMODERN	01523cam a22003377  4500
bimo0001019870	SpMaBN	20071112000000.2	981022s1998    sp |          ||| ||spa  						SpMaBN	bimoBNE19982676157		B 14893-1998	Oficina Depósito Legal Barcelona							84-236-3837-5								(OCoLC)432123607				SpMaBN	spa	SpMaBN		rdc								17(07)					XX916169	Puig, Irene de																																									Ética 4						Ética 4	ESO, 2º ciclo	[texto, Irene de Puig y equipo Edebé]	[Texto impreso] :		Barcelona	Edebé	[1998]	184 p.	il. col. y n.	27 cm																																																																																																																																											BNALCALA	BNALCALA	BNALCALA	BNALCALA		SG_PETANTI	SG_PETANTI	CONSERVACI	CONSERVACI		10/87528	AHM/791669	DL/865721	DL/945881		FONDO_MODE	FONDO_MODE	NO_PRESTA	NO_PRESTA		1.0	1.0	1.0	1.0																							2			852. 40	852. 40	852. 40	852. 40	MO03043233	MO04529702	MO03047921	MO03232288	SpMaBN	SpMaBN	SpMaBN	SpMaBN	BNALCALA	BNALCALA	BNALCALA	BNALCALA	SG_PETANTI	SG_PETANTI	CONSERVACI	CONSERVACI		10/87528	AHM/791669	DL/865721	DL/945881						MONOMODERN	01432nam a22003257  4500
FRBNF442495230000004	http://catalogue.bnf.fr/ark:/12148/cb44249523d			978-2-87844-186-4	rel.	90 EUR														FR		1573082.0																					9782878441864.0									20141230d2015    m  y0frey50      ba	fre			FR	||||z   00|y|	r						rdacontent	1.0	2.0	i 	xxxe  	txt	rdamedia	1.0	2.0	n	n	Émaux sur métal du IXe au XIXe siècle	Texte imprimé	histoire, technique et matériaux	Isabelle Biron		Dijon		Éditions Faton	cop. 2015	42-Saint-Étienne	Impr. Loire offset Titoulet	1 vol. (479 p.)	ill. en coul.	29 cm																	Bibliogr. p. 462-479. Vocabulaire																										rameau	rameau	rameau	11934444.0	11933639.0	11975822.0	Émaux	Émaux	Émaux	Histoire	Technique	Composition chimique																									738.4		23.0		Cadre de classement de la Bibliographie nationale française	730.0							12437737.0	70.0	Biron	Isabelle	ISNI0000000359758839																													intermrc	FR	FR-751131015	20141230.0	AFNOR	FRBNF442495230000004																																																						FR-751131010:44249523001001	FR-751131010:44249523002001	FR-751131010:44249523003001	FR-751021002:44249523004001	2015-282854	738.4 BIRO e	738.4 BIRO e	4-MON-1721	759999999.0	759999999.0	759999999.0	759999999.0	Tolbiac - Rez de Jardin - Littérature et art - Magasin	Tolbiac - Haut de Jardin - Littérature et art - Salle F - Libre accès	Tolbiac - Rez de Jardin - Littérature et art - Salle W - Libre accès	Richelieu - Monnaies et médailles - Magasin	O	N	N	N																																				01800cam a2200373   450 
bimo0001763005	SpMaBN	20210212141212.6	020318s2001    sp |         o||| ||spa  						SpMaBN	bimoBNE20020201643		M 48162-2001	Oficina Depósito Legal Madrid							84-95146-95-9								(OCoLC)638817008				SpMaBN	spa	SpMaBN		rdc								738.4.033(083.824)																																																	De Limoges a Silos			[Texto impreso]						[Madrid]	Sociedad Estatal para la Acción Cultural Exterior	[2001]	387 p.	il.	29 cm																			Exposición: Biblioteca Nacional, Madrid; Espace Culturel BBL, Bruselas; Monasterio de Santo Domingo de Silos, Santo Domingo de Silos, 15 de noviembre/28 de abril de 2002			Bibliografía: p.343-367. Índice																				embne		Esmaltes medievales			Exposiciones																																																		Sociedad Estatal para la Acción Cultural Exterior (España)	Biblioteca Nacional (España)	Espacio Cultural BBL	Abadía de Silos																																							BNMADRID	BNALCALA				SALA_GOYA	CONSERVACI				BA/38987	DL/1110102				FONDO_MODE	NO_PRESTA				1.0	1.0																									1 2			852. 40	852. 40			MO03698941	MO03674017			SpMaBN	SpMaBN			BNMADRID	BNALCALA			SALA_GOYA	CONSERVACI				BA/38987	DL/1110102								MONOMODERN	01474nam a2200337   4500
FRBNF358053820000009	http://catalogue.bnf.fr/ark:/12148/cb35805382n			2-911167-04-X	rel.	219 F														FR		9613223.0								02119120X	OPL																					19960405d1995    m  h0frey50      ba		eng	fre	FR	a   z   00|y|	r						rdacontent	1.0	2.0	b 	xb2e  	sti	rdamedia	1.0	2.0	n	n	Limousin enamels of the Middle Ages	Texte imprimé	Correze, Creuse, Haute-Vienne	Inventaire général des monuments et des richesses artistiques de la France, [Service régional du Limousin]	photographs, Philippe Rivière, Frédéric Magnoux	[Paris]	31 av. de la Libération, 8700	l'Inventaire	1995	87-Limoges	Centre impr.	96 p.	nombreuses ill. en noir et en coul., couv. ill. en coul.	31 cm	Images du patrimoine	149.0															Bibliogr. p. 96										34243540.0	Images du patrimoine (Paris)	149.0	0299-1020		Émaux limousins du Moyen âge : Corrèze, Creuse, Haute-Vienne											rameau			11932193.0			Émaux peints médiévaux						Limousin (France)	rameau	11976925.0	Inventaires																									Cadre de classement de la Bibliographie nationale française	73.0												12509602.0	14035133.0	12944186.0	730.0	440.0	440.0	Raab	Rivière	Magnoux	Jennie	Philippe	Frédéric		1960-....		ISNI0000000362229735	ISNI0000000001783204								12099565.0	70.0	France	Commission régionale Limousin	intermrc	FR	FR-751131015	19960405.0	AFNOR	FRBNF358053820000009																																																						FR-751131007:35805382001001	FR-751131007:35805382002001			4-LJ1-486 (149 BIS)	4-LJ1-486 (149 BIS)			759999999.0	759999999.0			Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin	Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin			O	O																																						02297cam a2200397   450 
015171161	Uk	20091221144156.0	090427s2009    be a          000 0 eng|d				bnb	GBA943115	Uk	015171161										9789061538646 (hbk.) :	9061538645 (hbk.) :		£45.00	£45.00								StDuBDS	eng	StDuBDS	Uk				ukblcatcopy								22.0	704.03916		Müller, Felix,	1952-																																														Art of the Celts :	700 BC to AD 700 /	Felix Muller.			London :	Thames & Hudson [distributor],	2009.	303 p. :	col. ill. ;	29 cm.		rdacontent	text	rdamedia	unmediated	rdacarrier	volume											Uk	Formerly CIP.																									Art, Celtic			Exhibitions.																																																																		British Library	British Library	HMNTS	DSC	LC.31.b.6644	m09/.34039																																																																																																					00930pam a2200289 a 4500
3858828		19901220140507.3	880107s1987    sz a          000 0 fre  	   88101340 																2826400800							(DLC)   88101340					DLC		DLC	DLC						MLCL 90/00407 (N)									Eluère, Christiane.																																															L'or des Celtes /		Christiane Eluère.			Fribourg, Suisse :	Office du livre,	c1987.	219 p. :	col. ill. ;	32 cm.																																																								artwork in gold																																																																										7.0	cbc	orignew	u	ncip	19.0	y-gencatlg		ap																																														rb07 ; rc05 ; ep15 08-21-89 ; eb45 12-05-90																													c-GenColl	MLCL 90/00407 (N)		Copy 1	BOOKS		00718nam a22002297a 4500
ES-MaREB00303675-6	ES-MaREB	20020226103301.0	020226s1996    esp      c    001 0 spa d																	84-8156-113-4																								7.032.62(064):903.2	903.2:7.032.62(064)																		Museo Estatal de Artes Figurativas A.C. Pushkin (Moscu.																																		El tesoro de Troya 	: excavaciones de Heinrich Schilieman : [catálogo de la exposición, Museo Pushkin, Moscu, 16 abril 1996 - 15 abril 1997] /	Ministerio de Cultura de la Federación Rusa, Museo Estatal de Artes figurativas A.C. Pushkin.			Madrid : 	Electa, 	D.L. 1996.	239 p. : 	il. col. ; 	29 cm.																																																					Troya.	Exposiciones	Restos arqueológicos																																																																																																																																																																				00747nam a2200169 a 4500
a5203990	SpMaBN	20131026004105.7	120511s2011    sp a   | ||||o000 0 spa  					MON11				M 40437-2011	Oficina Depósito Legal Madrid							978-84-8480-221-1					nipo	NIPO 555-11-033-2		(OCoLC)796305184				SpMaBN	spa	SpMaBN		rdc	spa	und						739.1(083.824)	75.034/.036(4)(083.824)																																																El Hermitage en el Prado :	[exposición]	edición a cargo de Sviatoslav Savvateev							[Madrid]	Museo Nacional del Prado	2011	335 p.	il. col. y n.	30 cm		isbdcontent	Texto (visual)	isbdmedia	sin mediación																	Bibliografía: p. 332-335																				embne	embne	Orfebrería	Pintura europea		Exposiciones	Exposiciones			Gosudarstvennyj Èrmitaž	Gosudarstvennyj Èrmitaž															Savvateev, Sviatoslav																														Museo Nacional del Prado	Gosudarstvennyj Èrmitaž																															MON1205										BNMADRID	BNALCALA				SALA_GOYA	CONSERVACI				BA/45239	DL/2087470				FONDO_MODE	NO_PRESTA				1.0	1.0																									1 2																																	MONOMODERN	01277nam a2200373 c 4500
